Data Till,Scheme,Component,TrainingType,TCState,TCDistrict,Enrolled,Trained,Assessed,Certified,Reported Placed
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Lohit,1769,1769,1350,1277,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Longding,299,299,200,200,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Lower Dibang Valley,3129,3129,3076,3009,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Lower Subansiri,1573,1573,1544,1508,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Namsai,13725,13673,11389,10708,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Papum Pare,6686,6636,6347,6185,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Siang,33,33,33,31,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Tawang,64,0,0,0,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Tirap,1593,1593,878,799,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,West Kameng,1041,1041,952,940,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,West Siang,2393,2393,1365,930,0
21-04-2022,PMKVY 2.0,CSCM,SP,Arunachal Pradesh,East Siang,11,11,11,11,0
21-04-2022,PMKVY 2.0,CSSM,SP,Arunachal Pradesh,East Siang,640,640,610,585,481
21-04-2022,PMKVY 2.0,CSSM,SP,Arunachal Pradesh,Lohit,200,200,198,174,140
21-04-2022,PMKVY 2.0,CSCM,SP,Arunachal Pradesh,Namsai,150,150,150,135,0
21-04-2022,PMKVY 2.0,CSSM,SP,Arunachal Pradesh,Namsai,972,972,933,895,701
21-04-2022,PMKVY 2.0,CSSM,SP,Arunachal Pradesh,Papum Pare,60,60,0,0,0
21-04-2022,PMKVY 2.0,CSCM,SP,Arunachal Pradesh,Papum Pare,1580,1441,929,793,0
21-04-2022,PMKVY 2.0,CSCM,SP,Arunachal Pradesh,Tawang,16,16,14,14,8
21-04-2022,PMKVY 2.0,CSCM,SP,Arunachal Pradesh,West Kameng,1161,1161,389,366,103
21-04-2022,PMKVY 2.0,CSSM,SP,Arunachal Pradesh,West Siang,240,240,238,212,177
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Anjaw,1906,1791,1742,1544,1196
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Changlang,941,941,871,815,30
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Changlang,1791,1791,1647,1558,121
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Dibang Valley,1098,958,941,893,499
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,East Kameng,240,240,240,204,0
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,East Kameng,240,240,240,240,180
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,East Siang,930,900,900,830,354
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,East Siang,4997,4465,4387,4058,1523
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Kra  Daadi,471,471,444,440,279
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Kurung Kumey,210,210,203,178,0
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Lohit,1962,1849,1834,1739,934
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Longding,240,240,240,200,173
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Lower Dibang Valley,600,600,573,541,480
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Lower Siang,600,600,497,444,264
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Lower Subansiri,329,299,299,251,1
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Namsai,1616,1576,1511,1466,821
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Namsai,240,240,239,237,0
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Papum Pare,1280,967,931,860,486
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Papum Pare,5091,5091,4319,3606,1351
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Tawang,347,347,197,197,0
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Tirap,480,480,476,468,0
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,Tirap,300,291,234,193,154
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,Upper Siang,180,180,164,159,0
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,West Kameng,718,718,718,567,283
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,West Kameng,420,360,359,287,111
21-04-2022,PMKVY 2.0,CSSM,STT,Arunachal Pradesh,West Siang,1200,1200,920,750,475
21-04-2022,PMKVY 2.0,CSCM,STT,Arunachal Pradesh,West Siang,600,600,574,554,124
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Anjaw,120,120,120,113,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Changlang,120,120,45,40,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Arunachal Pradesh,Changlang,45,45,26,7,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Dibang Valley,120,120,120,120,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,East Kameng,150,150,0,0,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Arunachal Pradesh,East Siang,31,31,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,East Siang,479,479,223,205,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Kamle,210,210,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Kra  Daadi,264,264,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Kurung Kumey,30,30,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Lohit,300,300,31,25,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Arunachal Pradesh,Lohit,114,114,109,109,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Longding,270,270,51,43,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Arunachal Pradesh,Lower Dibang Valley,1,1,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Lower Dibang Valley,180,180,135,115,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Arunachal Pradesh,Lower Siang,130,130,102,94,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Lower Siang,237,237,16,12,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Lower Subansiri,240,240,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Namsai,120,120,103,96,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Papum Pare,380,380,142,130,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Arunachal Pradesh,Papum Pare,1,1,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Siang,120,120,69,27,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Tawang,293,293,288,284,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Arunachal Pradesh,Tirap,90,90,37,35,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Tirap,150,150,0,0,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Upper Siang,236,236,105,99,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,Upper Subansiri,236,236,9,7,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,West Kameng,300,300,300,293,0
21-04-2022,PMKVY 3.0,CSSM,RPL,Arunachal Pradesh,West Siang,150,150,0,0,0
21-04-2022,PMKVY 3.0,CSCM,RPL,Arunachal Pradesh,West Siang,27,27,14,0,0
21-04-2022,PMKVY 3.0,CSSM,SP,Arunachal Pradesh,Changlang,60,60,52,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Arunachal Pradesh,Changlang,294,234,195,27,0
21-04-2022,PMKVY 3.0,CSSM,SP,Arunachal Pradesh,East Siang,120,120,90,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Arunachal Pradesh,East Siang,496,476,476,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Arunachal Pradesh,Lohit,549,549,417,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Arunachal Pradesh,Lower Siang,200,140,100,14,0
21-04-2022,PMKVY 3.0,CSSM,SP,Arunachal Pradesh,Lower Subansiri,91,70,70,69,0
21-04-2022,PMKVY 3.0,CSSM,SP,Arunachal Pradesh,Papum Pare,400,400,313,0,0
21-04-2022,PMKVY 3.0,CSCM,SP,Arunachal Pradesh,Papum Pare,95,88,38,0,0
21-04-2022,PMKVY 3.0,CSSM,SP,Arunachal Pradesh,Tawang,40,40,40,40,0
21-04-2022,PMKVY 3.0,CSSM,SP,Arunachal Pradesh,West Kameng,120,120,104,0,0
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,Changlang,329,147,34,27,0
21-04-2022,PMKVY 3.0,CSSM,STT,Arunachal Pradesh,Changlang,55,55,55,48,0
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,East Siang,504,144,139,133,0
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,Lohit,285,149,135,93,0
21-04-2022,PMKVY 3.0,CSSM,STT,Arunachal Pradesh,Lower Dibang Valley,30,30,29,0,0
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,Lower Siang,280,120,104,98,0
21-04-2022,PMKVY 3.0,CSSM,STT,Arunachal Pradesh,Lower Subansiri,30,30,30,28,0
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,Namsai,192,120,51,37,0
21-04-2022,PMKVY 3.0,CSSM,STT,Arunachal Pradesh,Namsai,30,30,30,25,21
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,Papum Pare,316,157,40,38,0
21-04-2022,PMKVY 3.0,CSSM,STT,Arunachal Pradesh,Papum Pare,180,180,151,129,40
21-04-2022,PMKVY 3.0,CSSM,STT,Arunachal Pradesh,Tawang,80,60,59,58,0
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,Tirap,422,142,136,129,0
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,West Kameng,137,0,0,0,0
21-04-2022,PMKVY 3.0,CSCM,STT,Arunachal Pradesh,West Siang,388,149,130,97,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Assam,Baksa,17311,17052,13403,12275,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Assam,Barpeta,35687,35409,26041,24053,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Assam,Biswanath,2113,2063,1468,1312,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Assam,Bongaigaon,12256,12189,10004,9641,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Assam,Cachar,12541,12392,9323,8139,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Assam,Charaideo,2226,2176,2116,1938,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Assam,Chirang,8546,8485,7351,6993,0
